# Examples advertised by the artifact.
#
# Format:
#   path/to/file.lean<TAB>representative_theorem<TAB>short label
VeriTile/Examples/SoftmaxEq.lean	softmax_kernels_refinement_view	Naive softmax vs stable softmax
VeriTile/Examples/LogSumExpEq.lean	log_sum_exp_refinement_view	Direct LSE vs shift-trick LSE
VeriTile/Examples/SoftmaxReciprocal.lean	softmax_reciprocal_refinement_view	Stable softmax division vs reciprocal
VeriTile/Examples/VectorAdd.lean	add_kernel_masked_correct_view	Vector add correctness
VeriTile/Examples/FloatDType.lean	float_softmax_reciprocal_algorithm_refine_view	Float dtype rewrite refinement
VeriTile/Examples/TritonSmoke.lean	argmax2_index_store_correct	Typed Nat memory store
VeriTile/Examples/TritonSmoke.lean	nat_load_store_correct	Typed Nat memory load/store
VeriTile/Examples/OnlineSoftmax.lean	online_softmax_correct_view	Online softmax correctness
VeriTile/Examples/RowWise.lean	rowWiseSum_correct_view	Row-wise reductions
VeriTile/Examples/FusedSiLU.lean	silu_kernels_refinement_view	Fused SiLU refinement
VeriTile/Examples/WelfordKernels.lean	welford_kernels_refinement_view	Welford refinement
VeriTile/Examples/LayerNormKernels.lean	layernorm_kernels_refinement_view	LayerNorm refinement
VeriTile/Examples/ApproxGeLU.lean	approx_gelu_kernel_correct_view	ApproxGeLU correctness
VeriTile/Examples/FlashAttention1/V0.lean	fa1_forward_correct_4D_causal_views	FlashAttention-1 causal 4D correctness
VeriTile/Examples/FlashAttention1/NaiveRefinement.lean	fa1_causal_boundaryD_refines_naive_reference_views	FlashAttention-1 v1 naive-reference refinement
